tipo_base,base,arquivo,qtd_linhas,qtd_colunas,tamanho_mb,sha256
Bases individuais,IDEB - Anos Iniciais,individual__ideb_anos_iniciais.parquet,38976,11,1.1039810180664062,1130c25fbb8d71ccf961584c9e4fb7ffb1d4c16002ebd5641c7ee2b0cdff2190
Bases individuais,IDEB - Anos Finais,individual__ideb_anos_finais.parquet,38983,11,0.9126453399658203,7e600c82a12ef7c00189ff7dc67f74cfa6f8542bdaddce23f587ff34e92808ad
Bases individuais,IDEB - Ensino Médio,individual__ideb_ensino_medio.parquet,27815,11,0.7996606826782227,1e14852a1a20f09f1e7e9eff634df5a4c06e516fcb71aff912070294a5a4a216
Bases individuais,TDI,individual__tdi.parquet,38991,7,0.3924074172973633,3e51568ac48e90d6737eb6904b4d7f6a4aaf03f296bb1706fb29be10edaf9918
Bases individuais,HAD,individual__had.parquet,38991,9,0.3457784652709961,2b4ad7d0f95a8dff39eea1b31d9a41f0c0be610b82db04ba3a290b1b4bfc9641
Bases individuais,ATU,individual__atu.parquet,38991,9,0.38059425354003906,ec10fadfbd5c55c2ccd24fec24b67da639b9f2254eea3a8084b8727ca15c04b4
Bases individuais,IED,individual__ied.parquet,38991,24,1.0785589218139648,af839792fd8617a0b34ddb9da45dd6e4aa93cd764b6d0ff1e590da89b7857d27
Bases individuais,AFD,individual__afd.parquet,38991,21,0.9288291931152344,67c9d29da84fe8485378ccafb69f1e2bad6609b12036366f3dfe52b00cfe81ae
Bases individuais,IRD,individual__ird.parquet,38991,10,0.43558692932128906,f6d70d9f5386160e23f3229d2e97f65fae4844609c985c544e0e695a2190a5f4
Bases individuais,ICG,individual__icg.parquet,38991,12,0.5198535919189453,2e0ec3eb7452855f0e60a31af22ea8939aded6d99aac6446b1f43cef967e71d0
Bases individuais,Censo Escolar,individual__censo_escolar.parquet,38991,78,3.7234764099121094,9bae38a83a5d1e17da4e0309278f0ed7f4ef22fbb78f9ed532e0757d40a7bb95
Bases individuais,População,individual__populacao.parquet,66841,6,0.5552253723144531,95938d3d340d56813c05e4410d32c2492b0c607881551db9d25176de17ac6695
Bases individuais,PIB,individual__pib.parquet,38990,8,0.9062948226928711,c362cc30bf2aabdb890da24e696779a23adc16a50644f307a28665857c2cef93
Bases individuais,BPC,individual__bpc.parquet,38991,11,1.3543977737426758,741e73b21022e13046602cc83ff53b06fe011fad5ccd03f0afde844e457e8bc2
Bases individuais,Bolsa Família,individual__bolsa_familia.parquet,38989,6,0.2951955795288086,39753526ec96e11107c31d1a2970aadce95607f5fd22f74e835bda565dcd6ac0
Bases individuais,Agropecuária,individual__agropecuaria.parquet,38983,21,1.9650650024414062,5b58009624a629e7a55c26b4f8c0cd04075168857902693a5d995db179e2c40a
Bases individuais,Importação,individual__importacao.parquet,14800,5,0.23488998413085938,e115fafae77c7f579749e3b48f196450b48adba0eec418787bbfe436b051f09f
Bases individuais,Exportação,individual__exportacao.parquet,15440,5,0.2544736862182617,db3273e26cde99d666bce36c3da49dc13165d1dcf6d50f57cbd84ad569678459
Painéis integrados completos,Anos Iniciais,painel_completo__anos_iniciais.parquet,38990,136,9.66041088104248,22af7f463647f8eda17e25273ff02e96abe6f3b84ba307c482733b7e04244b9e
Painéis integrados completos,Anos Finais,painel_completo__anos_finais.parquet,38990,136,9.498178482055664,057df89bfe6852ccf2dfcba4a55d0471f07fe5f0a80f45cdb47c635ab47066b4
Painéis integrados completos,Ensino Médio,painel_completo__ensino_medio.parquet,38990,136,9.401861190795898,623ba13cf9680ae3494e0234cf61144e8f14273709d714da46d207810360e353
Bases analíticas,Anos Iniciais,base_analitica__anos_iniciais.parquet,37460,131,8.513741493225098,77a373e4a4ed5a7111f43ff36f53e913ebc7b6abe3c53658587b5f2d9e0fb9d3
Bases analíticas,Anos Finais,base_analitica__anos_finais.parquet,37055,131,8.455414772033691,128356a0aff8a02e2e3acbb0da99608a5ba9097055fcd949096affb1d832293b
Bases analíticas,Ensino Médio,base_analitica__ensino_medio.parquet,23920,131,5.567824363708496,06bbe98e2c87ccb5855bc9b0c91acc7c4ee91592214f5ef348d0b8e1ad5936da
