tipo_base,base,variavel,tipo_dado,qtd_registros,qtd_validos,qtd_ausentes,pct_ausentes,qtd_valores_unicos,eh_numerica,eh_identificador
Bases individuais,IDEB - Anos Iniciais,sigla_uf,string,38976,38976,0,0.0,27,False,True
Bases individuais,IDEB - Anos Iniciais,cod_municipio,Int64,38976,38976,0,0.0,5568,True,True
Bases individuais,IDEB - Anos Iniciais,nome_municipio,object,38976,38976,0,0.0,5295,False,True
Bases individuais,IDEB - Anos Iniciais,rede,object,38976,38976,0,0.0,1,False,True
Bases individuais,IDEB - Anos Iniciais,ideb,float64,38976,37461,1515,3.887007389162562,78,True,False
Bases individuais,IDEB - Anos Iniciais,taxa_aprovacao_etapa,float64,38976,38369,607,1.5573686371100164,316,True,False
Bases individuais,IDEB - Anos Iniciais,indicador_rendimento,float64,38976,38369,607,1.5573686371100164,24605,True,False
Bases individuais,IDEB - Anos Iniciais,nota_media_padronizada,float64,38976,37462,1514,3.8844417077175697,37207,True,False
Bases individuais,IDEB - Anos Iniciais,nota_matematica_saeb,float64,38976,37436,1540,3.9511494252873565,10185,True,False
Bases individuais,IDEB - Anos Iniciais,nota_portugues_saeb,float64,38976,37436,1540,3.9511494252873565,9487,True,False
Bases individuais,IDEB - Anos Iniciais,ano,Int64,38976,38976,0,0.0,7,True,True
Bases individuais,IDEB - Anos Finais,sigla_uf,string,38983,38983,0,0.0,27,False,True
Bases individuais,IDEB - Anos Finais,cod_municipio,Int64,38983,38983,0,0.0,5569,True,True
Bases individuais,IDEB - Anos Finais,nome_municipio,object,38983,38983,0,0.0,5296,False,True
Bases individuais,IDEB - Anos Finais,rede,object,38983,38983,0,0.0,1,False,True
Bases individuais,IDEB - Anos Finais,ideb,float64,38983,37056,1927,4.943180360670036,77,True,False
Bases individuais,IDEB - Anos Finais,taxa_aprovacao_etapa,float64,38983,38536,447,1.1466536695482648,491,True,False
Bases individuais,IDEB - Anos Finais,indicador_rendimento,float64,38983,38536,447,1.1466536695482648,31343,True,False
Bases individuais,IDEB - Anos Finais,nota_media_padronizada,float64,38983,37057,1926,4.940615139932792,13563,True,False
